OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
Aroma Treat,Kavita Enterprises,L And T,"It 9 2nd Floor,",Hinjewadi,Pune,411057,Maharashtra,CANTEEN / CATERERS,NO
Swift Mart,Dash Ventures Inc,Platinium Shop No 3/B,Opp Joggers Park Colony,Jogger Park,Jamnagar,361008,Gujarat,SUPER MARKET,YES
Srinidhi Retail,Srinidhi Retail,No 91 3rd Cross Ferns Paradise,3rd Main,Doddanakundi,Bangalore,560037,Karnataka,SUPER MARKET,YES
Hari Om Kirana Evam General Stores,Hari Om Kirana Evam General Stores,Near Chhaya Garden Infront Street No 4,Main Road Pragati Nagar,Risali,Bhilai,490006,Chhattisgarh,SUPER MARKET,YES
Home Needs Fresh,Home Needs Fresh,"No.58, 8th Road",Vasant Nagar,Vasant Nagar,Bangalore,560052,Karnataka,SUPER MARKET,NO
New Soham Traders,New Soham Traders,"Shop No 4, S No 67 To 70 Soba Kunj",Nr Mhatoba Mandir,Kothrud,Pune,411038,Maharashtra,SUPER MARKET,NO
Saravanaa Super Market,Saravanaa Super Market,No 81 Door No 3/2,Arcot Road,Porur,Chennai,600116,Tamil Nadu,SUPER MARKET,YES
R Z Enterprises,R Z Enterprises,Rr No Afh61 Near Siddhi Vinayaka Temple,Compounder Lane,Hospet,Bellary,583201,Karnataka,SUPER MARKET,YES
New Rajdhani Discount Bazar,New Rajdhani Discount Bazar Pvt Ltd,Block A Plot No 228,Pocket 2 Sector 17,Dwarka,New Delhi,110078,New Delhi,SUPER MARKET,YES
Scientech Technologies Pvt Ltd,Scientech Technologies Pvt Ltd,94-101 Electronic Complex,Pardeshipura,Pardeshipura,Indore,452010,Madhya Pradesh,SUPER MARKET,YES
Fine Mart,Fine Mart,Ground Floor 7/920 E1 Uco Bank Building,Pallikkara Road,Kakkanad,Kochi,682030,Kerala,SUPER MARKET,YES
Buy N Save Margin Free Bazaar,Buy N Save Margin Free Bazaar,11/94 Menamkulam,Kazhakkoottam,Kazhakkoottam,Trivandrum North,695582,Kerala,SUPER MARKET,NO
Nuts N Spices,Nuts N Spices,"New No - 16, Old No - 44",Ranga Pillai Street,Ranga Pillai Street,Pondicherry,605001,Pondicherry,SUPER MARKET,YES
B1 Mart,B1 Mart,Shop No 3 And 4 Thakur Bhavan,Thakur Nagar Majas Road Opp Sbi Atm,Jogeshwari East,Mumbai,400060,Maharashtra,SUPER MARKET,YES
11 Crossings,Jam N San Services Pvt Ltd,11 Crossings Opposite Indusind Bank,Near Passport Office Ashiana Digha Road.,Ashiana,Patna,800014,Bihar,SUPER MARKET,YES
Jai Balaji Store,Jai Balaji Store,Flat No 526,Shaheed Bhagat Singh Apartment Sec 14,Dwarka,New Delhi,110078,New Delhi,SUPER MARKET,YES
Industrial Caterers,Industrial Caterers,Reliance Jio Avana,No 39/14 Sarjapur Main Road Iblur Village,Bellandur Road,Bangalore,560103,Karnataka,CANTEEN / CATERERS,YES
All Season Hypermart,All Season Hypermart,No 878 Pid No 15/37/878 2nd Stage,West Of Cord Road,Basaveswar Nagar,Bangalore,560079,Karnataka,SUPER MARKET,YES
Anand Super Bazaar,Anand Super Bazaar,Attabira,In Front Of Sbi Main Road,Bargarh,Sambalpur,768027,Orissa,SUPER MARKET,YES
Anand Super Bazaar,Anand Super Bazaar,Rengali,Mahabir Chowk Pragati Complex,Sambalpur,Sambalpur,768212,Orissa,SUPER MARKET,YES
Taj Mahal Express,B Sundar Rao Hotels Pvt Ltd,C/O Skyview 10,Gachibowli Opp Bio Diversity Complex,Gachibowli,Hyderabad,500032,Telangana,FAST FOOD,YES
